journal_name,discipline,inception_year
Annales Scientifiques de l'École Normale Supérieure,Mathematics,1864
The Annals of Applied Probability,Probability,1991
The Annals of Applied Statistics,Applied statistics,2007
Annals of Mathematics,Mathematics,1874
Annals of Probability,Probability theory,1973
Annals of Statistics,Statistics,1973
Biometrika,Statistics,1901
Chaos,Nonlinear systems,1991
Commentarii Mathematici Helvetici,Mathematics,1929
Communications in Mathematical Physics,Mathematical Physics,1965
Duke Mathematical Journal,Mathematics,1935
Econometric Theory,Econometrics,1985
Ergodic Theory and Dynamical Systems,Dynamical systems,1981
Geometric and Functional Analysis,mathematics,1991
Geometry & Topology,Geometry,1997
Indiana University Mathematics Journal,Mathematics,1952
Inventiones Mathematicae,Mathematics,1966
Journal de Mathématiques Pures et Appliquées,Mathematics,1836
Journal für die reine und angewandte Mathematik,Mathematics,1826
Journal of Computational and Graphical Statistics,Statistics,1992
Journal of Computational Physics,Computational physics,1966
Journal of Differential Geometry,Differential geometry,1967
Journal of Fluid Mechanics,Fluid mechanics,1956
Journal of High Energy Physics,Particle physics,1997
Journal of Mathematical Biology,Biology statistics,1974
Journal of Mathematical Logic,Mathematics,2001
Journal of Physics A: Mathematical and Theoretical,Physics,1968
Journal of Statistical Mechanics: Theory and Experiment,Statistical physics,2004
Journal of the American Statistical Association,Statistics,1888
Journal of the Royal Statistical Society,Statistics,1838
Journal of Theoretical Biology,Theoretical biology,1961
Mathematical Programming,Mathematics,1971
Mathematics of Operations Research,Mathematics,1976
Mathematische Annalen,mathematics,1869
Nonlinearity,Nonlinear systems,1988
Nuclear Physics,Nuclear physics,1956
Numerische Mathematik,Numerical analysis,1959
Operations Research,Operations research,1952
Physics of Fluids,Fluid dynamics,1958
Probability Theory and Related Fields,Probability,1962
Proceedings of the National Academy of Sciences,Multidisciplinary,1914
Proceedings of the Royal Society A,Natural sciences,1800
SIAM Journal on Numerical Analysis,Numerical analysis,1964
Studies in Applied Mathematics,Applied Mathematics,1969
Acta Mathematica,Mathematics,1882
Journal of Differential Geometry,Differential geometry,1967
Annals of Mathematics,Mathematics,1874
Inventiones Mathematicae,Mathematics,1966
American Journal of Mathematics,Mathematics,1878
Annales Scientifiques de l'École Normale Supérieure,Mathematics,1864
Astérisque,Mathematics,1973
Bulletin de la Société Mathématique de France,Mathematics,1873
The American Statistician,Statistics,1947
Annals of Statistics,Statistics,1973
Biometrika,Statistics,1901
Communications in Statistics - Theory and Methods,Statistics,1970
Journal of the American Statistical Association,Statistics,1888
Journal of Multivariate Analysis,Multivariate statistics,1971
Journal of the Royal Statistical Society,Statistics,1838
Sankhya,Statistics,1933
Statistical Science,Statistics,1986
Stochastic Processes and their Applications,Statistics,1973
The Annals of Applied Statistics,Applied statistics,2007
Journal of the Royal Statistical Society,Statistics,1838
Statistics and Its Interface,Statistics,2008
Journal of Statistics Education,statistics,1993
Biometrical Journal,Statistics,1959
Biometrics,Statistics,1945
Biometrika,Statistics,1901
Biostatistics,Statistics,2000
Statistical Applications in Genetics and Molecular Biology,Statistics,2002
Statistical Methods in Medical Research,Statistics,1992
Communications in Statistics - Theory and Methods,Statistics,1970
Computational Statistics,Computational statistics,1986
Computational Statistics & Data Analysis,Statistics,1983
Journal of Computational and Graphical Statistics,Statistics,1992
Journal of Statistical Computation and Simulation,Statistics,1972
Chemometrics and Intelligent Laboratory Systems,Chemometrics,1986
Journal of Chemometrics,Chemistry,1987
Journal of Statistical Physics,Physics,1969
Physica,Physics,1975
Technometrics,Statistics,1959
Atmospheric Environment,Atmospheric science,1967
British Journal of Mathematical and Statistical Psychology,psychology,1965
Journal of Educational and Behavioral Statistics,Education,1976
Journal of the Royal Statistical Society,Statistics,1838
Multivariate Behavioral Research,psychology,1966
Structural Equation Modeling,Statistics,1994
Econometrica,Econometrics,1933
Econometric Theory,Econometrics,1985
Journal of Applied Econometrics,Econometrics,1986
Journal of Econometrics,economics,1973
The Review of Economics and Statistics,Econometrics,1919
International Journal of Forecasting,Forecasting,1985
Brazilian Journal of Probability and Statistics,Statistics,1987
Chilean Journal of Statistics,Statistics,1984
Journal of Official Statistics,Statistics,1985
Journal of Modern Applied Statistical Methods,Statistics,2002
Journal of Statistical Software,Statistics,1996
Journal of Statistics Education,statistics,1993
Revista Colombiana de Estadistica,Statistics,1968
REVSTAT,Statistics,2003
SORT,Statistics,1977
Statistics Surveys,Statistics,2007
Survey Methodology,Statistics,1975
Journal of Machine Learning Research,Machine learning,2000
ACIMED,Medicine,1993
Acta Anaesthesiologica Scandinavica,anaesthesia,1957
Acta Neurologica Scandinavica,Neuroscience,1925
Acta Orthopaedica et Traumatologica Turcica,Orthopaedic surgery,1962
Acta Oto-Laryngologica,Otolaryngology,1918
Acta Paediatrica,Pediatrics,1921
Acta Psychiatrica Scandinavica,Psychiatry,1926
Acta Radiologica,Radiology,1960
Advances in Physiotherapy,Physiotherapy,1999
Advances in Therapy,Pharmacotherapy,1984
AIDS,HIV,1987
Alimentary Pharmacology & Therapeutics,Gastroenterology,1987
American Family Physician,Family medicine,1969
American Journal of Emergency Medicine,Emergency medicine,1983
The American Journal of Gastroenterology,Gastroenterology,1934
American Journal of Medical Genetics Part A B & C,Human genetics,1977
The American Journal of the Medical Sciences,Medicine,1820
American Journal of Public Health,Public health,1911
The American Journal of Surgical Pathology,Surgical pathology,1977
American Journal of Translational Research,Medicine,2009
American Journal of Transplantation,Organ transplantation,2001
The American Journal of Surgical Pathology,Surgical pathology,1977
Anaesthesia,Anaesthesiology,1946
Annals of Cardiac Anaesthesia,Cardiology,1998
Annals of Emergency Medicine,Emergency medicine,1972
Annals of Human Genetics,Human genetics,1925
Annals of Internal Medicine,Internal medicine,1927
Annals of Medicine,Medicine,1969
Annals of Pharmacotherapy,Pharmacology,1967
JAMA Dermatology,Dermatology,1960
Archives of Disease in Childhood,Paediatrics,1926
JAMA Psychiatry,Psychiatry,1959
JAMA Neurology,Neurology,1960
Archives of Osteoporosis,Osteoporosis,2006
JAMA Pediatrics,Pediatrics,1911
Arteriosclerosis Thrombosis and Vascular Biology,Cardiology,1981
Aviation Space and Environmental Medicine,medicine,1930
BDJ Team,Dentistry,2014
BioEssays,Biology,1984
Biological Research For Nursing,Nursing,1999
Neonatology,Neonatology,1959
Biomedical Imaging and Intervention Journal,Radiology,2005
Biometrika,Statistics,1901
Blood,Hematology,1946
Bone Marrow Transplantation,Hematology,1986
BMC Cancer,Oncology,2001
BMC Medicine,Medicine,2003
Brain,Neurology,1878
Brazilian Journal of Medical and Biological Research,Biology,1968
Breast Cancer Research and Treatment,Medicine,1981
British Columbia Medical Journal,Medicine,1924
BJA: British Journal of Anaesthesia,anaesthesia,1923
British Journal of Cancer,Oncology,1947
British Journal of Dermatology,Dermatology,1888
British Journal of Medical Practitioners,Medicine,2008
British Journal of Ophthalmology,Ophthalmology,1917
British Journal of Sexual Medicine,Sexology,1973
British Journal of Surgery,Surgery,1913
BJUI,Urology,1929
The BMJ,Medicine,1840
Bulletin of the World Health Organization,Public health,1947
CA: A Cancer Journal for Clinicians,Oncology,1950
Calcified Tissue International,Biochemistry,1967
Canadian Journal of Gastroenterology & Hepatology,Gastroenterology,1987
Canadian Journal of Infectious Diseases & Medical Microbiology,Infectious diseases,1990
Canadian Medical Association Journal/Journal de l'Association medicale canadienne,Medicine,1911
Cardiology,Cardiology,1937
Cardiovascular Diabetology,Cardiology,2002
Cephalalgia,Neurology,1981
Chest,Pulmonology,1935
Chinese Medical Journal,Medicine,1887
Circulation,Cardiology,1950
The Cleft Palate-Craniofacial Journal,Medicine,1964
Clinical Anatomy,Anatomy,1988
Clinical Breast Cancer,Oncology,2000
Clinical Chemistry,Clinical chemistry,1955
Clinical Colorectal Cancer,Oncology,2001
Clinical Gastroenterology and Hepatology,Gastroenterology,2003
Clinical Genitourinary Cancer,Oncology,2002
The Clinical Journal of Pain,Pain management,1985
Clinical Leukemia,Leukemia,2006
Clinical Lung Cancer,Oncology,1999
Clinical Lymphoma Myeloma & Leukemia,Oncology,2000
Clinical Ovarian Cancer & Other Gynecologic Malignancies,Oncology,2008
Clinical Microbiology Reviews,Microbiology,1988
Clinical Science,Medicine,1909
Clinical Toxicology,Toxicology,1968
Contemporary Clinical Trials,Clinical trials,1980
COPD: Journal of Chronic Obstructive Pulmonary Disease,Pulmonology,2004
Critical Care Medicine,Intensive-care medicine,1973
Critical Reviews in Toxicology,Toxicology,1971
Current Medical Research and Opinion,Medicine,1972
Cutaneous and Ocular Toxicology,Toxicology,1982
DARU,Pharmaceutical sciences,1990
Developmental Neurorehabilitation,Neurology,1997
Diabetes,Diabetes,1952
Diabetes Care,Diabetes,1978
Drug and Alcohol Dependence,Addiction,1975
Emergency Medicine Journal,Emergency medicine,1984
Endocrinology,Endocrinology,1917
Epilepsy Currents,Epilepsy,2001
European Journal of Epidemiology,Epidemiology,1985
European Journal of Palliative Care,Palliative care,1994
European Medical Journal,Medicine,2012
European Radiology,Radiology,1991
Experimental & Clinical Cardiology,Cardiology,1996
Expert Opinion on Biological Therapy,Therapeutics,2001
Expert Opinion on Drug Delivery,Pharmacology,2004
Expert Opinion on Drug Discovery,Pharmacology,2006
Expert Opinion on Drug Metabolism & Toxicology,Pharmacology,2005
Expert Opinion on Drug Safety,Pharmacovigilance,2002
Expert Opinion on Investigational Drugs,Pharmacology,1992
Expert Opinion on Medical Diagnostics,Medical diagnostics,2007
Expert Opinion on Pharmacotherapy,Pharmacotherapy,1999
Expert Opinion on Therapeutic Patents,Therapeutics,1991
Expert Opinion on Therapeutic Targets,Pharmacology,1997
ePlasty,Plastic surgery,2002
Gastroenterology,Gastroenterology,1943
Gynecologic Oncology,Gynecologic oncology,1972
Heart,Cardiology,1939
Hormone Research in Paediatrics,Paediatric,1970
Hospital Practice,Medicine,1966
Human Reproduction,Human reproduction,1986
Human Resources for Health,Public health,1997
Immunogenetics,Immunogenetics,1974
Indian Journal of Anaesthesia,Anaesthesiology,2002
Indian Journal of Dermatology,Dermatology,1955
Indian Journal of Dermatology Venereology and Leprology,Dermatology,1990
Indian Journal of Gastroenterology,Gastroenterology,1982
Indian Journal of Medical Microbiology,Medical microbiology,1983
Indian Journal of Medical Research,Biomedical research,1913
Indian Journal of Medical Sciences,Medicine,1947
Indian Journal of Ophthalmology,Ophthalmology,1953
Indian Journal of Pharmacology,Pharmacology,1969
International Journal of Geriatric Psychiatry,Psychiatry,1986
International Journal of Medical Sciences,Medicine,2004
International Journal of Obesity,Nutrition,1977
International Journal of Speech-Language Pathology,Speech and language pathology,1999
International Journal of Surgery,Surgery,2003
Investigative Ophthalmology & Visual Science,Ophthalmology,1976
JAMA,Medicine,1883
JAMA Dermatology,Dermatology,1960
JAMA Neurology,Neurology,1960
JAMA Pediatrics,Pediatrics,1911
JAMA Psychiatry,Psychiatry,1959
The Johns Hopkins Medical Journal,Medicine,1889
Journal of Acquired Immune Deficiency Syndromes,AIDS,1988
Pediatrics,Pediatrics,1948
Journal of the American College of Cardiology,Cardiology,1983
Journal of the American Geriatrics Society,Geriatrics,2001
The Journal of the American Osteopathic Association,Osteopathic medicine,1901
Journal of Bone and Joint Surgery,Orthopedic surgery,1889
Journal of Cachexia Sarcopenia and Muscle,Muscle diseases,2010
The Journal of Clinical Endocrinology and Metabolism,Endocrinology,1941
Journal of Clinical Investigation,Biomedicine,1924
Journal of Clinical Oncology,Oncology,1983
Journal of Clinical Psychopharmacology,Psychopharmacology,1981
Journal of Epidemiology and Community Health,Public health,1947
Journal of Experimental Medicine,Medicine,1896
The Journals of Gerontology,Geriatrics,1946
Journal of Hypertension,Cardiology,1982
The Journal of Immunology,Immunology,1915
Journal of Infection in Developing Countries,Biomedical,2006
Journal of Internal Medicine,Internal medicine,1863
Journal of Investigative Dermatology,Dermatology,1938
Journal of Medicine,Medicine,1970
Journal of Medical Biography,History of medicine,1993
Journal of Medical Genetics,Medical genetics,1964
The Journal of Medical Practice Management,Management,1984
Journal of Microencapsulation,Pharmacology,1984
Journal of Nervous and Mental Disease,Neuropsychiatry,1874
Journal of Occupational and Environmental Medicine,Occupational,1959
Journal of Oncology Practice,Oncology,2005
Journal of Pakistan Medical Association,Medicine,1951
The Journal of Pediatrics,Pediatrics,1932
Journal of Pediatric Gastroenterology and Nutrition,Pediatric,1982
Journal of Pediatric Endocrinology and Metabolism,Pediatric endocrinology,1985
Journal of Postgraduate Medicine,Medicine,1955
Journal of Studies on Alcohol and Drugs,Addiction,1940
Korean Journal of Anesthesiology,Anesthesiology,1968
The Lancet,Medicine,1823
Langenbeck's Archives of Surgery,Surgery,1872
Mayo Clinic Proceedings,Internal medicine,1926
The Medical Journal of Australia,Medicine,1914
Medical Law International,Medical law,1993
The Medical Letter on Drugs and Therapeutics,Pharmacology,1959
Menopause,Gynecology,1994
Mens Sana Monographs,Biomedicine,2003
Molecular Medicine,Molecular medicine,1994
Movement disorders,Neurology,1986
Mount Sinai Journal of Medicine,Medicine,1934
The National Medical Journal of India,Medicine,1988
Nature Reviews Cardiology,Cardiology,2004
Nature Reviews Gastroenterology & Hepatology,Gastroenterology,2004
Nature Reviews Nephrology,Nephrology,2005
Nature Reviews Neurology,Neurology,2005
Nature Reviews Clinical Oncology,Oncology,2004
Nature Reviews Rheumatology,Rheumatology,2005
Nature Reviews Urology,Urology,2004
Nature Medicine,Medicine,1995
Nature Neuroscience,Neuroscience,1998
Nature Reviews Immunology,Immunology,2001
Nature Reviews Microbiology,Microbiology,2003
Nature Reviews Neuroscience,Neuroscience,2000
Nederlands Tijdschrift voor Geneeskunde,Medicine,1857
Neural Regeneration Research,Neurology,2006
Neurology India,Neurology,1953
The New England Journal of Medicine,Medicine,1812
The New Zealand Medical Journal,Medicine,1887
Obstetrics & Gynecology,Obstetrics,1953
Osteoporosis International,Osteoporosis,1990
Nursing Children and Young People,Paediatric nursing,1989
Pain Research & Management,Neurology,1996
Pan American Journal of Public Health,Public health,1997
Pathologica,Pathology,1908
Pediatrics,Pediatrics,1948
Pediatric Research,Pediatrics,1967
Paediatrics & Child Health,Paediatrics,1996
PLOS Medicine,Medicine,2004
PLoS Neglected Tropical Diseases,Biology,2007
The Physician and Sportsmedicine,Medicine,1973
Postgraduate Medicine,Medicine,1916
Le Praticien en Anesthésie Réanimation,Anaesthesiology,1997
Preventive Medicine,Preventive medicine,1972
Psychiatric Genetics,Psychiatric genetics,1990
Psychosomatic Medicine,Psychosomatic medicine,1939
Rambam Maimonides Medical Journal,Medicine,2010
Rejuvenation Research,Rejuvenation,1998
Revista Pediatría de Atención Primaria,Pediatrics,1999
Scandinavian Journal of Infectious Diseases,Infectious disease,1969
Scandinavian Journal of Occupational Therapy,Occupational therapy,1993
Scientia Pharmaceutica,Pharmaceutical sciences,1930
Spine,Orthopaedics,1976
Stroke,Cardiology,1970
Women's Health Issues,Women's health,1990
Allergy,Allergy,1948
Journal of Asthma,Pulmonology,1963
Acta Anaesthesiologica Scandinavica,anaesthesia,1957
Anaesthesia,Anaesthesiology,1946
Anesthesia & Analgesia,Anesthesiology,1922
BJA: British Journal of Anaesthesia,anaesthesia,1923
The Clinical Journal of Pain,Pain management,1985
Le Praticien en Anesthésie Réanimation,Anaesthesiology,1997
Pain,Anesthesiology,1975
The Cleft Palate-Craniofacial Journal,Medicine,1964
BDJ Team,Dentistry,2014
British Dental Journal,Dentistry,1872
Advanced Drug Delivery Reviews,Pharmacology,1987
Health Economics,Health economics,1992
International Journal of Medical Sciences,Medicine,2004
International Journal of Pharmaceutics,Pharmaceutics,1978
Journal of Controlled Release,Pharmaceutics,1984
JAMA Psychiatry,Psychiatry,1959
Molecular Psychiatry,Psychiatry,1997
American Journal of Psychiatry,Psychiatry,1844
Schizophrenia Bulletin,Schizophrenia,1969
British Journal of Psychiatry,Psychiatry,1853
Biological Psychiatry,Biological psychiatry,1959
Schizophrenia Research,Psychiatry,1988
The Journal of Clinical Psychiatry,Psychiatry,1940
Neuropsychopharmacology,Neuropsychopharmacology,1987
Journal of Psychopharmacology,Psychopharmacology,1987
Journal of Applied Toxicology,Toxicology,1981
Toxicology,Toxicology,1973
